End_Date,Event_Code,Event_Type,Event_Type_String,Event_Key,Event_Name,Short_Name,Start_Date,Week,Year
2024-03-24,txhou,1,District,2024txhou,FIT District Houston Event,Houston,2024-03-22,3,2024
2024-03-02,txkat,1,District,2024txkat,FIT District Katy Event,Katy,2024-02-29,0,2024
2024-03-10,txpla,1,District,2024txpla,FIT District Plano Event,Plano,2024-03-08,1,2024
2024-03-16,txsan,1,District,2024txsan,FIT District San Antonio Event,San Antonio,2024-03-14,2,2024
2024-03-02,txwac,1,District,2024txwac,FIT District Waco Event,Waco,2024-02-29,0,2024
2024-03-02,utwv,0,Regional,2024utwv,Utah Regional,Utah,2024-02-28,0,2024
2024-03-03,vaash,1,District,2024vaash,CHS District Ashland VA Event,Ashland VA,2024-03-01,0,2024
2024-03-03,vabla,1,District,2024vabla,CHS District Blacksburg VA Event,Blacksburg VA,2024-03-01,0,2024
2024-03-24,vafal,1,District,2024vafal,CHS District Falls Church VA Event presented by Department of Energy,Falls Church VA,2024-03-22,3,2024
2024-03-17,vagle,1,District,2024vagle,CHS District Glen Allen VA Event,Glen Allen VA,2024-03-15,2,2024
2024-03-10,vapor,1,District,2024vapor,CHS District Portsmouth VA Event,Portsmouth VA,2024-03-08,1,2024
2024-03-10,waahs,1,District,2024waahs,PNW District Auburn Event,Auburn,2024-03-08,1,2024
2024-03-17,wabon,1,District,2024wabon,PNW District Bonney Lake Event,Bonney Lake,2024-03-15,2,2024
2024-03-24,wasam,1,District,2024wasam,PNW District Sammamish Event,Sammamish,2024-03-22,3,2024
2024-03-03,wasno,1,District,2024wasno,PNW District Glacier Peak Event,Glacier Peak,2024-03-01,0,2024
2024-03-16,wayak,1,District,2024wayak,PNW District SunDome Event,SunDome,2024-03-14,2,2024
2024-04-06,wila,0,Regional,2024wila,Seven Rivers Regional,Seven Rivers,2024-04-03,5,2024
2024-03-17,wimi,0,Regional,2024wimi,Wisconsin Regional,Wisconsin,2024-03-14,2,2024
2024-03-23,zhha,0,Regional,2024zhha,China Regional (CHINA TEAMS PLEASE PREFERENCE THIS EVENT),China,2024-03-20,3,2024
