Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm34,34,B,Blue3S,S,frc4338,False,22,0,0,5,0,1,5,7,3,0,6,0,12,6,12,15,0,0,10,20,0
2024isde1,qm,2024isde1_qm35,35,B,Blue1A,A,frc5951,True,75,1,0,25,0,2,10,16,8,4,7,20,14,11,34,42,0,0,21,52,2
2024isde1,qm,2024isde1_qm35,35,B,Blue2C,C,frc4320,True,75,1,0,25,0,2,10,16,8,4,7,20,14,11,34,42,0,0,21,52,2
2024isde1,qm,2024isde1_qm35,35,B,Blue3S,S,frc1942,True,75,1,0,25,0,2,10,16,8,4,7,20,14,11,34,42,0,0,21,52,2
2024isde1,qm,2024isde1_qm36,36,B,Blue1A,A,frc6740,False,25,0,0,0,0,1,5,9,1,0,5,0,10,5,10,11,0,0,7,16,0
2024isde1,qm,2024isde1_qm36,36,B,Blue2C,C,frc3211,False,25,0,0,0,0,1,5,9,1,0,5,0,10,5,10,11,0,0,7,16,0
2024isde1,qm,2024isde1_qm36,36,B,Blue3S,S,frc2230,False,25,0,0,0,0,1,5,9,1,0,5,0,10,5,10,11,0,0,7,16,0
2024isde1,qm,2024isde1_qm37,37,B,Blue1A,A,frc1576,False,23,0,0,15,0,0,0,4,0,0,9,0,18,9,18,18,0,0,9,18,1
2024isde1,qm,2024isde1_qm37,37,B,Blue2C,C,frc6230,False,23,0,0,15,0,0,0,4,0,0,9,0,18,9,18,18,0,0,9,18,1
2024isde1,qm,2024isde1_qm37,37,B,Blue3S,S,frc3316,False,23,0,0,15,0,0,0,4,0,0,9,0,18,9,18,18,0,0,9,18,1
2024isde1,qm,2024isde1_qm38,38,B,Blue1A,A,frc4338,True,31,0,0,0,0,2,10,12,3,0,8,0,16,8,16,19,0,0,13,29,0
2024isde1,qm,2024isde1_qm38,38,B,Blue2C,C,frc6740,True,31,0,0,0,0,2,10,12,3,0,8,0,16,8,16,19,0,0,13,29,0
2024isde1,qm,2024isde1_qm38,38,B,Blue3S,S,frc2230,True,31,0,0,0,0,2,10,12,3,0,8,0,16,8,16,19,0,0,13,29,0
2024isde1,qm,2024isde1_qm39,39,B,Blue1A,A,frc5654,False,78,1,1,2,0,5,25,31,2,2,11,10,22,13,32,34,5,1,20,59,13
2024isde1,qm,2024isde1_qm39,39,B,Blue2C,C,frc3211,False,78,1,1,2,0,5,25,31,2,2,11,10,22,13,32,34,5,1,20,59,13
2024isde1,qm,2024isde1_qm39,39,B,Blue3S,S,frc3339,False,78,1,1,2,0,5,25,31,2,2,11,10,22,13,32,34,5,1,20,59,13
2024isde1,qm,2024isde1_qm4,4,B,Blue1A,A,frc3316,False,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1
2024isde1,qm,2024isde1_qm4,4,B,Blue2C,C,frc2230,False,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1
2024isde1,qm,2024isde1_qm4,4,B,Blue3S,S,frc2630,False,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1
2024isde1,qm,2024isde1_qm40,40,B,Blue1A,A,frc9738,True,73,1,0,0,0,5,25,27,7,5,2,25,4,7,29,36,0,0,19,61,5
2024isde1,qm,2024isde1_qm40,40,B,Blue2C,C,frc1690,True,73,1,0,0,0,5,25,27,7,5,2,25,4,7,29,36,0,0,19,61,5
2024isde1,qm,2024isde1_qm40,40,B,Blue3S,S,frc8175,True,73,1,0,0,0,5,25,27,7,5,2,25,4,7,29,36,0,0,19,61,5
2024isde1,qm,2024isde1_qm41,41,B,Blue1A,A,frc1574,False,88,1,1,0,0,2,10,14,6,3,7,15,14,10,29,35,0,0,18,45,7
2024isde1,qm,2024isde1_qm41,41,B,Blue2C,C,frc5990,False,88,1,1,0,0,2,10,14,6,3,7,15,14,10,29,35,0,0,18,45,7
2024isde1,qm,2024isde1_qm41,41,B,Blue3S,S,frc2679,False,88,1,1,0,0,2,10,14,6,3,7,15,14,10,29,35,0,0,18,45,7
2024isde1,qm,2024isde1_qm42,42,B,Blue1A,A,frc6740,True,33,0,0,2,0,2,10,12,6,2,2,10,4,4,14,20,0,0,12,30,1
2024isde1,qm,2024isde1_qm42,42,B,Blue2C,C,frc5135,True,33,0,0,2,0,2,10,12,6,2,2,10,4,4,14,20,0,0,12,30,1
2024isde1,qm,2024isde1_qm42,42,B,Blue3S,S,frc1576,True,33,0,0,2,0,2,10,12,6,2,2,10,4,4,14,20,0,0,12,30,1
2024isde1,qm,2024isde1_qm43,43,B,Blue1A,A,frc2230,False,25,0,0,25,0,2,10,16,0,0,1,0,2,1,2,2,0,0,3,12,0
