Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,OppFoulPts,Aamp,Aspkr,Atrap,AutoPts,Tamp,Tspkr,Tspkrpts,Ttrap,TotNotes,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,NotePts,StagePts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts,,
2024isde1,qm,2024isde1_qm56,56,R,Red1S,S,frc9738,False,36,0,0,5,0,2,10,12,1,0,4,0,8,4,8,9,5,1,7,19,10,,
2024isde1,qm,2024isde1_qm56,56,R,Red2C,C,frc5654,False,36,0,0,5,0,2,10,12,1,0,4,0,8,4,8,9,5,1,7,19,10,,
2024isde1,qm,2024isde1_qm56,56,R,Red3A,A,frc2679,False,36,0,0,5,0,2,10,12,1,0,4,0,8,4,8,9,5,1,7,19,10,,
2024isde1,qm,2024isde1_qm57,57,R,Red1S,S,frc1577,False,66,1,0,2,0,2,10,14,10,5,3,25,6,8,31,41,0,0,20,51,1,,
2024isde1,qm,2024isde1_qm57,57,R,Red2C,C,frc6740,False,66,1,0,2,0,2,10,14,10,5,3,25,6,8,31,41,0,0,20,51,1,,
2024isde1,qm,2024isde1_qm57,57,R,Red3A,A,frc3083,False,66,1,0,2,0,2,10,14,10,5,3,25,6,8,31,41,0,0,20,51,1,,
2024isde1,qm,2024isde1_qm58,58,R,Red1S,S,frc9303,False,44,0,0,0,0,1,5,7,4,1,2,5,4,3,9,13,0,0,8,18,7,,
2024isde1,qm,2024isde1_qm58,58,R,Red2C,C,frc9738,False,44,0,0,0,0,1,5,7,4,1,2,5,4,3,9,13,0,0,8,18,7,,
2024isde1,qm,2024isde1_qm58,58,R,Red3A,A,frc7067,False,44,0,0,0,0,1,5,7,4,1,2,5,4,3,9,13,0,0,8,18,7,,
2024isde1,qm,2024isde1_qm59,59,R,Red1S,S,frc3211,False,40,0,0,5,0,2,10,12,0,0,13,0,26,13,26,26,0,0,15,36,2,,
2024isde1,qm,2024isde1_qm59,59,R,Red2C,C,frc5135,False,40,0,0,5,0,2,10,12,0,0,13,0,26,13,26,26,0,0,15,36,2,,
2024isde1,qm,2024isde1_qm59,59,R,Red3A,A,frc4338,False,40,0,0,5,0,2,10,12,0,0,13,0,26,13,26,26,0,0,15,36,2,,
2024isde1,qm,2024isde1_qm6,6,R,Red1S,S,frc5715,False,33,0,0,14,0,2,10,12,0,0,6,0,12,6,12,12,0,0,8,22,4,,
2024isde1,qm,2024isde1_qm6,6,R,Red2C,C,frc4338,False,33,0,0,14,0,2,10,12,0,0,6,0,12,6,12,12,0,0,8,22,4,,
2024isde1,qm,2024isde1_qm6,6,R,Red3A,A,frc7177,False,33,0,0,14,0,2,10,12,0,0,6,0,12,6,12,12,0,0,8,22,4,,
2024isde1,qm,2024isde1_qm60,60,R,Red1S,S,frc5990,True,23,0,0,12,0,0,0,4,5,2,1,10,2,3,12,17,0,0,8,17,2,,
2024isde1,qm,2024isde1_qm60,60,R,Red2C,C,frc3083,True,23,0,0,12,0,0,0,4,5,2,1,10,2,3,12,17,0,0,8,17,2,,
2024isde1,qm,2024isde1_qm60,60,R,Red3A,A,frc1576,True,23,0,0,12,0,0,0,4,5,2,1,10,2,3,12,17,0,0,8,17,2,,
2024isde1,qm,2024isde1_qm61,61,R,Red1S,S,frc5654,True,44,1,0,2,0,3,15,17,4,2,6,10,12,8,22,26,0,0,15,41,1,,
2024isde1,qm,2024isde1_qm61,61,R,Red2C,C,frc2630,True,44,1,0,2,0,3,15,17,4,2,6,10,12,8,22,26,0,0,15,41,1,,
2024isde1,qm,2024isde1_qm61,61,R,Red3A,A,frc1580,True,44,1,0,2,0,3,15,17,4,2,6,10,12,8,22,26,0,0,15,41,1,,
2024isde1,qm,2024isde1_qm62,62,R,Red1S,S,frc1690,True,95,1,1,10,0,5,25,29,7,6,4,30,8,10,38,45,0,0,22,70,11,,
2024isde1,qm,2024isde1_qm62,62,R,Red2C,C,frc1577,True,95,1,1,10,0,5,25,29,7,6,4,30,8,10,38,45,0,0,22,70,11,,
2024isde1,qm,2024isde1_qm62,62,R,Red3A,A,frc4320,True,95,1,1,10,0,5,25,29,7,6,4,30,8,10,38,45,0,0,22,70,11,,
2024isde1,qm,2024isde1_qm7,7,R,Red1S,S,frc8175,False,13,0,0,0,0,0,0,2,1,0,4,0,8,4,8,9,0,0,5,9,2,,
2024isde1,qm,2024isde1_qm7,7,R,Red2C,C,frc4319,False,13,0,0,0,0,0,0,2,1,0,4,0,8,4,8,9,0,0,5,9,2,,
2024isde1,qm,2024isde1_qm7,7,R,Red3A,A,frc2230,False,13,0,0,0,0,0,0,2,1,0,4,0,8,4,8,9,0,0,5,9,2,,
2024isde1,qm,2024isde1_qm8,8,R,Red1S,S,frc2630,False,36,0,0,20,0,2,10,12,1,0,9,0,18,9,18,19,0,0,12,29,5,,
2024isde1,qm,2024isde1_qm8,8,R,Red2C,C,frc7067,False,36,0,0,20,0,2,10,12,1,0,9,0,18,9,18,19,0,0,12,29,5,,
2024isde1,qm,2024isde1_qm8,8,R,Red3A,A,frc1576,False,36,0,0,20,0,2,10,12,1,0,9,0,18,9,18,19,0,0,12,29,5,,
2024isde1,qm,2024isde1_qm9,9,R,Red1S,S,frc6738,False,43,0,0,0,0,2,10,14,0,0,10,0,20,10,20,20,0,0,12,30,4,,
2024isde1,qm,2024isde1_qm9,9,R,Red2C,C,frc3316,False,43,0,0,0,0,2,10,14,0,0,10,0,20,10,20,20,0,0,12,30,4,,
2024isde1,qm,2024isde1_qm9,9,R,Red3A,A,frc9738,False,43,0,0,0,0,2,10,14,0,0,10,0,20,10,20,20,0,0,12,30,4,,
